mode,model,accuracy,auc,model_mb,ms_per_window_batch1,ms_per_window_batch8000,scorer,n_features,threads
mobile,Stacking_Ensemble,0.92975,0.97294175,623.2685441970825,182.31032509356737,0.08569021362927742,predict_proba,32,24
mobile,LGBM_balanced,0.929,0.97282521875,5.97222900390625,0.9486660128459334,0.00974716637574602,predict_proba,32,24
mobile,LGBM_deep,0.9265,0.97037759375,9.706207275390625,0.9393689688295126,0.010106664863997139,predict_proba,32,24
mobile,CatBoost_deep,0.918875,0.964478,6.357623100280762,1.0122220264747739,0.0004761917516589165,predict_proba,32,24
mobile,CatBoost_balanced,0.9185,0.96086846875,2.063174247741699,1.0307690827175975,0.0003858408745145425,predict_proba,32,24
mobile,XGB_balanced,0.91625,0.9605825937500002,2.9110870361328125,1.6787699423730373,0.0019791248778346926,predict_proba,32,24
mobile,XGB_conservative,0.914875,0.96053940625,2.1618499755859375,1.665416988544166,0.0015793628699611872,predict_proba,32,24
mobile,GradientBoosting,0.909375,0.95367071875,3.716768264770508,1.1162450537085533,0.010343277244828641,predict_proba,32,24
mobile,SVM_rbf,0.9085,0.94144371875,1.9523639678955078,1.1150049977004528,0.20163014574791305,predict_proba,32,24
mobile,AdaBoost,0.906125,0.95283425,0.9052600860595703,12.020681984722614,0.010261731760692783,predict_proba,32,24
mobile,Bagging_RF,0.901375,0.94902478125,9.904634475708008,32.99927699845284,0.017967625622986816,predict_proba,32,24
mobile,RandomForest,0.898625,0.945436375,89.51371955871582,66.37096800841391,0.015854413373745047,predict_proba,32,24
mobile,ExtraTrees,0.881375,0.93802559375,179.26912117004395,68.10715899337083,0.015910381378489546,predict_proba,32,24
mobile,LogisticRegression,0.8805,0.91759990625,0.0041675567626953125,0.8636179845780134,0.00014800562348682433,predict_proba,32,24
mobile,Ridge,0.879125,0.916939,0.0041980743408203125,0.8612360106781125,0.000141496115247719,predict_proba,32,24
mobile,SVM_linear,0.878375,0.91708671875,0.011201858520507812,2.7033319929614663,0.0004908141272608191,predict_proba,32,24
mobile,Bagging_ET,0.861875,0.92126565625,25.57316780090332,72.22166901919991,0.012419234742992558,predict_proba,32,24
